City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-1.31,82,100,6.02,SJ,1733406402
1,avarua,-21.2078,-159.775,24.03,83,20,3.09,CK,1733406403
2,baardheere,2.3446,42.2764,35.79,20,1,4.93,SO,1733406404
3,port-aux-francais,-49.35,70.2167,6.08,97,92,3.23,TF,1733406405
4,stanley,54.868,-1.6985,9.18,82,20,1.03,GB,1733406408
5,grytviken,-54.2811,-36.5092,1.59,85,92,0.31,GS,1733406409
6,punta arenas,-53.15,-70.9167,4.06,87,75,5.14,CL,1733406292
7,port alfred,-33.5906,26.891,23.43,73,100,2.68,ZA,1733406411
8,waitangi,-43.9535,-176.5597,13.23,82,26,7.6,NZ,1733406412
9,hawaiian paradise park,19.5933,-154.9731,21.05,95,100,2.57,US,1733406413
10,vadso,70.0744,29.7487,-7.91,73,28,8.23,NO,1733406415
11,salanso,12.1833,-4.0833,32.63,8,60,5.64,BF,1733406416
12,guankou,28.15,113.6333,9.98,88,100,0.88,CN,1733406417
13,manokwari,-0.8667,134.0833,26.75,83,100,1.17,ID,1733406418
14,puerto natales,-51.7236,-72.4875,7.25,49,75,4.63,CL,1733405927
15,as sulayyil,20.4607,45.5779,25.63,21,0,4.94,SA,1733406420
16,khandyga,62.6667,135.6,-25.39,99,100,0.46,RU,1733406422
17,falesti,47.5736,27.7092,0.95,82,100,1.81,MD,1733406423
18,lorengau,-2.0226,147.2712,27.95,78,78,3.64,PG,1733406424
19,margaret river,-33.95,115.0667,14.43,69,0,5.79,AU,1733406425
20,adamstown,-25.066,-130.1015,22.91,80,100,8.78,PN,1733406426
21,blackmans bay,-43.0167,147.3167,14.74,88,0,1.83,AU,1733406427
22,puerto baquerizo moreno,-0.9,-89.6,22.22,86,100,5.26,EC,1733406428
23,igarka,67.4667,86.5833,-5.21,96,100,4.29,RU,1733406429
24,dakhla,23.6848,-15.958,28.01,23,100,5.14,EH,1733406431
25,okha,53.5739,142.9478,-16.51,95,97,5.15,RU,1733406432
26,albany,42.6001,-73.9662,0.49,76,100,0.45,US,1733406433
27,east london,-33.0153,27.9116,24.52,57,20,10.8,ZA,1733406294
28,polyarnyy,69.1989,33.4478,-2.38,80,100,11.61,RU,1733406435
29,viqueque,-8.8673,126.3658,25.58,91,100,1.68,TL,1733406436
30,ust-nera,64.5667,143.2,-24.74,99,77,1.04,RU,1733406438
31,tazovsky,67.4667,78.7,-11.05,90,100,6.0,RU,1733406439
32,russellville,35.2784,-93.1338,2.77,86,0,1.54,US,1733406440
33,bredasdorp,-34.5322,20.0403,24.13,40,100,10.68,ZA,1733406441
34,bonthe,7.5264,-12.505,32.6,49,99,2.01,SL,1733406442
35,horta,38.5333,-28.6333,19.8,82,75,7.15,PT,1733406443
36,al jawf,29.5,38.75,17.84,33,0,4.12,SA,1733406444
37,karagandy,49.8019,73.1021,-8.03,98,40,1.6,KZ,1733406445
38,tiksi,71.6872,128.8694,-24.08,94,14,3.61,RU,1733406447
39,el amria,35.5244,-1.0158,18.21,55,100,4.84,DZ,1733406449
40,hamilton,39.1834,-84.5333,-7.73,67,75,6.69,US,1733406283
41,atafu village,-8.5421,-172.5159,27.99,68,68,6.2,TK,1733406452
42,akureyri,65.6835,-18.0878,0.96,86,100,8.23,IS,1733406453
43,isafjordur,66.0755,-23.124,0.02,80,100,4.63,IS,1733406457
44,mata-utu,-13.2816,-176.1745,27.77,81,100,4.6,WF,1733406458
45,iqaluit,63.7506,-68.5145,-8.15,72,75,3.6,CA,1733406404
46,port elizabeth,-33.918,25.5701,23.16,73,20,9.26,ZA,1733406344
47,thompson,55.7435,-97.8558,-23.91,77,75,2.06,CA,1733406462
48,ribeira grande,38.5167,-28.7,20.22,73,75,7.15,PT,1733406463
49,crane,31.3974,-102.3501,8.43,73,100,5.85,US,1733406464
50,puerto ayora,-0.7393,-90.3518,21.42,98,94,0.45,EC,1733406465
51,susuman,62.7833,148.1667,-24.49,100,100,0.14,RU,1733406466
52,acapulco de juarez,16.8634,-99.8901,22.9,83,20,2.06,MX,1733406311
53,port lincoln,-34.7333,135.8667,21.1,76,100,2.11,AU,1733406468
54,boa vista,2.8197,-60.6733,28.99,61,20,7.2,BR,1733406470
55,wailua homesteads,22.0669,-159.378,23.44,90,75,5.66,US,1733406471
56,port sudan,19.6175,37.2164,25.76,65,97,5.19,SD,1733406472
57,khovd,48.0056,91.6419,-11.21,66,13,2.22,MN,1733406473
58,kainantu,-6.2887,145.8655,16.68,99,100,0.73,PG,1733406474
59,tsiombe,-25.3,45.4833,30.6,52,0,6.26,MG,1733406475
60,mahina,-17.5065,-149.489,24.87,73,0,1.54,PF,1733406476
61,ushuaia,-54.8,-68.3,5.81,61,75,5.66,AR,1733406195
62,abancay,-13.6339,-72.8814,19.35,66,96,1.89,PE,1733406316
63,rabo de peixe,37.8,-25.5833,17.77,99,75,4.63,PT,1733406480
64,luwuk,-0.9516,122.7875,23.55,89,100,1.51,ID,1733406481
65,amancio,20.8257,-77.5799,24.82,62,69,6.56,CU,1733406482
66,iskateley,67.6803,53.1512,-2.08,84,100,9.66,RU,1733406483
67,cloverdale,38.8055,-123.0172,11.63,83,100,0.45,US,1733406484
68,lebu,-37.6167,-73.65,12.78,89,100,1.76,CL,1733406382
69,livingstone,-17.8419,25.8543,39.34,8,85,4.87,ZM,1733406486
70,bel ombre,-4.6167,55.4167,27.91,74,75,1.54,SC,1733406488
71,red bluff,40.1785,-122.2358,6.07,81,0,1.54,US,1733406386
72,klyuchi,52.2667,79.1667,-11.68,92,11,3.01,RU,1733406490
73,paradip garh,20.3167,86.6167,23.89,58,34,3.52,IN,1733406491
74,la'ie,21.6477,-157.9253,22.81,83,3,3.03,US,1733406492
75,bethel,41.3712,-73.414,2.05,87,100,3.09,US,1733406486
76,revda,56.801,59.9303,-5.4,88,100,5.34,RU,1733406494
77,olonets,60.9847,32.9698,-5.14,69,91,2.8,RU,1733406495
78,edinburgh of the seven seas,-37.0676,-12.3116,14.85,81,6,9.57,SH,1733406497
79,rakops,-21.0167,24.3333,39.71,10,32,1.25,BW,1733406498
80,thulamahashi,-24.7246,31.1994,40.59,13,32,5.76,ZA,1733406499
81,brisas de zicatela,15.8369,-97.0419,21.29,83,20,5.14,MX,1733406500
82,yellowknife,62.456,-114.3525,-13.71,85,100,3.6,CA,1733406236
83,west island,-12.1568,96.8225,27.99,78,75,9.26,CC,1733406502
84,antofagasta,-23.65,-70.4,17.6,75,100,4.42,CL,1733406266
85,college,64.8569,-147.8028,-13.01,78,75,0.0,US,1733406505
86,kourou,5.1552,-52.6478,28.26,66,51,3.34,GF,1733406507
87,vorgashor,67.5833,63.95,-17.06,100,95,2.16,RU,1733406508
88,gamba,-2.65,10.0,27.8,71,80,4.45,GA,1733406509
89,chokwe,-24.5333,32.9833,42.35,15,0,3.79,MZ,1733406510
90,praia da vitoria,38.7333,-27.0667,21.14,64,40,7.46,PT,1733406512
91,kindu,-2.95,25.95,26.31,72,51,2.55,CD,1733406513
92,mount pearl,47.5166,-52.7813,1.36,71,75,3.6,CA,1733406514
93,howrah,22.5892,88.3103,26.0,41,0,0.0,IN,1733406515
94,monrovia,6.3005,-10.7969,30.78,55,29,3.73,LR,1733406516
95,kapit,2.0167,112.9333,22.99,100,100,0.6,MY,1733406517
96,gobernador virasora,-28.05,-56.0333,29.44,71,19,3.13,AR,1733406519
97,kingston,17.997,-76.7936,26.76,83,75,1.03,JM,1733406510
98,utrik,11.2278,169.8474,27.82,81,76,11.14,MH,1733406523
99,shalqar,47.8333,59.6,-1.7,74,13,2.97,KZ,1733406524
